TimeStamp,TimeStamp,TotalMarketValue
502,2019-11-08 02:59:58,166679585525.0
503,2019-11-08 21:06:31,158692715493.75
504,2019-11-09 17:24:46,158109130643.75
505,2019-11-10 09:25:15,159572883425.0
506,2019-11-11 00:22:51,163030417025.0
507,2019-11-11 17:32:50,157196896450.0
508,2019-11-12 09:18:22,157578322162.5
509,2019-11-13 07:00:38,157851536400.0
510,2019-11-14 00:21:51,158458633125.0
511,2019-11-14 14:55:53,155862591631.25
512,2019-11-15 05:54:15,154394182350.0
513,2019-11-15 23:28:37,153205217000.0
514,2019-11-16 15:40:37,153288667400.0
515,2019-11-17 10:40:40,154238637600.0
516,2019-11-18 02:00:00,153148688800.0
517,2019-11-18 19:15:12,147689286500.0
518,2019-11-19 15:27:14,145804420625.0
519,2019-11-20 07:17:17,146772172800.0
520,2019-11-21 02:11:49,146494101000.0
521,2019-11-21 19:50:49,137059332112.5
522,2019-11-22 16:51:12,128842423600.0
523,2019-11-23 07:37:50,129854457687.5
524,2019-11-23 23:02:03,131905336050.0
525,2019-11-24 19:39:05,127624431200.0
526,2019-11-25 12:59:55,127642825125.0
527,2019-11-26 12:26:14,129594612781.25
528,2019-11-27 07:47:04,127742948831.25
529,2019-11-28 00:58:25,136661370312.5
530,2019-11-28 18:09:50,137150305250.0
531,2019-11-29 10:43:42,136374254481.25
532,2019-11-30 06:43:58,140198446631.25
533,2019-12-01 03:00:19,132146699768.75
534,2019-12-01 19:53:24,131899068999.248
535,2019-12-02 12:55:18,132129914718.75
536,2019-12-03 08:38:07,131823193887.5
537,2019-12-03 23:29:01,132031751925.0
538,2019-12-04 15:31:33,134591210775.0
539,2019-12-05 08:18:57,132449047000.0
540,2019-12-06 00:44:56,133055575275.0
541,2019-12-06 18:34:52,134539405650.0
542,2019-12-07 13:26:03,135933198750.0
543,2019-12-08 03:28:33,133908078937.5
544,2019-12-08 21:53:35,136550113200.0
545,2019-12-09 13:31:42,135963070875.0
546,2019-12-10 07:40:06,132598581175.0
547,2019-12-11 01:34:00,130916420625.0
548,2019-12-11 20:25:18,130102629900.0
549,2019-12-12 14:55:26,129279669837.5
550,2019-12-13 08:33:28,130393254881.25
551,2019-12-14 02:30:41,131190159000.0
552,2019-12-14 17:01:28,127579460100.0
553,2019-12-15 13:57:23,127923789525.0
554,2019-12-16 07:59:52,127761251187.5
555,2019-12-17 01:11:55,124466345681.25
556,2019-12-17 19:06:57,121388238600.0
557,2019-12-18 13:11:05,118309679693.75
558,2019-12-19 07:05:33,129084516000.0
559,2019-12-20 00:05:06,129465411225.0
560,2019-12-20 16:42:14,129339041675.0
561,2019-12-21 07:01:07,129339446750.0
562,2019-12-21 22:03:37,129231161550.0
563,2019-12-22 11:58:12,129892795500.0
564,2019-12-23 04:22:41,137484553893.75
565,2019-12-23 22:36:29,132366984718.75
566,2019-12-24 19:22:05,130501230275.0
567,2019-12-25 14:09:02,130275193912.5
568,2019-12-26 08:29:03,130892103562.5
569,2019-12-27 00:08:53,130312638500.0
570,2019-12-27 18:47:39,130458286250.0
571,2019-12-28 11:27:54,131972349412.5
572,2019-12-29 03:28:30,132154213500.0
573,2019-12-29 20:24:04,135590343525.0
574,2019-12-30 12:56:27,132572409600.0
575,2019-12-31 04:41:01,131186014812.5
576,2019-12-31 22:30:40,129908125350.0
577,2020-01-01 14:39:48,130779110200.0
578,2020-01-02 04:27:47,129056665500.0
579,2020-01-02 22:10:50,126100621125.0
580,2020-01-03 13:21:31,132766946600.0
581,2020-01-04 06:47:39,133103167187.5
582,2020-01-04 21:11:22,133049485975.0
583,2020-01-05 12:37:40,134964196212.5
584,2020-01-06 04:25:59,136670621562.5
585,2020-01-06 23:29:59,140935807237.5
586,2020-01-07 14:59:44,142778924050.0
587,2020-01-08 04:41:37,150865259212.5
588,2020-01-08 23:13:21,146402437593.75
589,2020-01-09 16:53:26,142429033337.5
590,2020-01-10 09:09:57,139798301881.25
591,2020-01-11 01:47:59,149457250937.5
592,2020-01-11 17:26:30,148197428325.0
593,2020-01-12 09:28:16,147718029600.0
594,2020-01-13 01:46:52,148092060250.0
595,2020-01-13 20:00:33,147176770062.5
596,2020-01-14 14:29:05,156676154906.25
597,2020-01-15 06:39:56,157059895300.0
598,2020-01-16 00:01:00,160131775168.75
599,2020-01-16 17:09:47,156937500000.0
600,2020-01-17 06:08:47,161744610300.0
601,2020-01-18 00:01:36,161701907962.5
602,2020-01-18 17:12:44,161304920943.75
603,2020-01-19 13:02:48,156665328156.25
604,2020-01-20 07:48:01,157431161400.0
605,2020-01-21 05:04:39,157374283000.0
606,2020-01-22 10:05:47,157347681687.5
607,2020-01-23 00:26:05,157304624725.0
608,2020-01-23 16:55:32,151235760000.0
609,2020-01-24 09:53:26,150365323837.5
610,2020-01-25 02:32:09,150703628093.75
611,2020-01-25 17:17:05,151523683425.0
612,2020-01-26 10:44:47,152707615912.5
613,2020-01-27 04:41:03,156828339225.0
614,2020-01-28 00:33:54,162431769500.0
615,2020-01-28 17:50:08,162780058350.0
616,2020-01-29 10:43:05,170148973875.0
617,2020-01-30 02:13:10,168706337187.5
618,2020-01-30 19:15:54,172838936050.0
619,2020-01-31 12:47:12,168494535550.0
620,2020-02-01 05:37:26,171163036800.0
621,2020-02-01 22:58:51,170283963325.0
622,2020-02-02 17:43:14,171824828000.0
623,2020-02-03 11:23:44,169726450275.0
624,2020-02-04 04:21:10,169265643650.0
625,2020-02-04 22:06:45,166384171450.0
626,2020-02-05 14:59:41,171820390000.0
627,2020-02-06 08:20:37,175437140700.0
628,2020-02-07 03:34:48,178271649587.5
